objectid,title,date,issue,order,subject,description,creator,publisher,contributors,type,format,identifier,source,language,rights,rightsstatement,Reference URL,cdmid,CONTENTdm file name,CONTENTdm file path
hwhi_2014_spring,Here We Have Idaho: Spring 2014,2014,Spring,201402,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2014_spring,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/48,48,84.pdf,/hwhi/image/84.pdf
hwhi_2014_fall,Here We Have Idaho: Fall 2014,2014,Fall,201404,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2014_fall,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/52,52,69.pdf,/hwhi/image/69.pdf
hwhi_2015_spring,Here We Have Idaho: Spring 2015,2015,Spring,201502,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2015_spring,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/89,89,71.pdf,/hwhi/image/71.pdf
hwhi_2015_fall,Here We Have Idaho: Fall 2015,2015,Fall,201504,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2015_fall,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/64,64,74.pdf,/hwhi/image/74.pdf
hwhi_2016_spring,Here We Have Idaho: Spring 2016,2016,Spring,201602,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2016_spring,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/55,55,55.pdf,/hwhi/image/55.pdf
hwhi_2016_fall,Here We Have Idaho: Fall 2016,2016,Fall,201604,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2016_fall,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/84,84,50.pdf,/hwhi/image/50.pdf
hwhi_2017_spring,Here We Have Idaho: Spring 2017,2017,Spring,201702,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2017_spring,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/86,86,58.pdf,/hwhi/image/58.pdf
hwhi_2017_fall,Here We Have Idaho: Fall 2017,2017,Fall,201704,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2017_fall,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/79,79,51.pdf,/hwhi/image/51.pdf
hwhi_2018_spring,Here We Have Idaho: Spring 2018,2018,Spring,201802,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2018_spring,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/73,73,86.pdf,/hwhi/image/86.pdf
hwhi_2018_fall,Here We Have Idaho: Fall 2018,2018,Fall,201804,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2018_fall,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/80,80,73.pdf,/hwhi/image/73.pdf
hwhi_2019_spring,Here We Have Idaho: Spring 2019,2019,Spring,201902,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2019_spring,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/78,78,72.pdf,/hwhi/image/72.pdf
hwhi_2019_fall,Here We Have Idaho: Fall 2019,2019,Fall,201904,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2019_fall,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/82,82,65.pdf,/hwhi/image/65.pdf
hwhi_2020_spring,Here We Have Idaho: Spring 2020,2020,Spring,202002,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2020_spring,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/58,58,64.pdf,/hwhi/image/64.pdf
hwhi_2020_fall,Here We Have Idaho: Fall 2020,2020,Fall,202004,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2020_fall,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/70,70,70.pdf,/hwhi/image/70.pdf
hwhi_2021_spring,Here We Have Idaho: Spring 2021,2021,Spring,202102,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2021_spring,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/95,95,96.pdf,/hwhi/image/96.pdf
hwhi_2022_spring,Here We Have Idaho: Spring 2022,2022,Spring,202202,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2022_spring,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/94,94,95.pdf,/hwhi/image/95.pdf
hwhi_2022_fall,Here We Have Idaho: Fall 2022,2022,Fall,202204,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2022_fall,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/96,96,,
