Title	Creator	Description	Date	Date is Approximate?	Source	Subject	Category	Coverage	Rights	Language	Digitization Specifications	Date Digital	Identifier	Publisher	Relation	Collection	Type	Media Type	Format	Ordering Information	Website	Filename	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Agricultural Engineering		Unidentified students working on an axel in the shop.	1935	y	PG 1 University of Idaho Campus Photographs, 1-215 to 1-217	University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings; Students	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	215 dpi grayscale jpg displayed. SilverFast scanning software, Epson Expression 1640 XL, Master file is a 800 dpi TIFF.	2010-05	1-217-3	University of Idaho Library	University of Idaho Historical Photograph Colleciton	University of Idaho Student Organizations	Image;StillImage	Black and white print	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-06-11	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/205	205	215.jpg	/spec_uihp/image/215.jpg
Agricultural Engineering		McNeil Pumping Plant	1935	y	PG 1 University of Idaho Campus Photographs, 1-215 to 1-217	University of Idaho; University of Idaho -- Buildings -- Photographs;		United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	190 dpi grayscale jpg displayed. SilverFast scanning software, Epson Expression 1640 XL, Master file is a 600 dpi TIFF.	2010-05	1-217-6	University of Idaho Library	University of Idaho Historical Photograph Colleciton	University of Idaho Student Organizations	Image;StillImage	Black and white print	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-06-11	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/206	206	216.jpg	/spec_uihp/image/216.jpg
Botany 1896		Freshman Botany Class (Left to Right): Claude Gibson [?];Clem Herbert [?]; Kate Hanley; Gilbert Hogue; Tom Jenkins [?]; Margret Scully; Clara Playfair.	1896		PG 1 University of Idaho Campus Photographs, 1-215 to 1-217	University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings; Students	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	200 dpi grayscale jpg displayed. SilverFast scanning software, Epson Expression 1640 XL, Master file is a 600 dpi TIFF.	2010-05	1-215-7	University of Idaho Library	University of Idaho Historical Photograph Colleciton	University of Idaho Student Organizations	Image;StillImage	Black and white print	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-06-11	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/207	207	217.jpg	/spec_uihp/image/217.jpg
Entomology		University Press Service: Removing a tray of long-horned beatles for classroom use is Dr. W.F. Borr, assistant entomologist in the University of Idaho College of Agriculture. Largest insects in the bug collections, these beetles are minor forest pests and somtimes bother fruit trees.	1960	y	PG 1 University of Idaho Campus Photographs, 1-219 to 1-221-35	University of Idaho; University of Idaho -- Buildings -- Photographs;		United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	160 dpi grayscale jpg displayed. SilverFast scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-219-2	University of Idaho Library	University of Idaho Historical Photograph Colleciton	University of Idaho Student Organizations	Image;StillImage	Black and white print	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-06-11	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/208	208	218.jpg	/spec_uihp/image/218.jpg
Agronomy		Shows Agronomy Lab section, early 1900's American Engraving co., Spokane	1900	y	PG 1 University of Idaho Campus Photographs, 1-219 to 1-221-35	University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings; Students	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	155 dpi grayscale jpg displayed. SilverFast scanning software, Epson Expression 1640 XL, Master file is a 800 dpi TIFF.	2010-05	1-220-1	University of Idaho Library	University of Idaho Historical Photograph Colleciton	University of Idaho Student Organizations	Image;StillImage	Black and white print	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-06-11	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/209	209	219.jpg	/spec_uihp/image/219.jpg
Home Economics 1895		First class In Domectic Science, under direction of Miss Lyford; The first class in Domestic Science or household science as it was first called (under the Dept. of Agriculture).  Standing in the background in Miss Lyford, the first teacher.	1895		PG 1 University of Idaho Campus Photographs, 1-219 to 1-221-35	University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings; Students	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	325 dpi grayscale jpg displayed. SilverFast scanning software, Epson Expression 1640 XL, Master file is a 800 dpi TIFF.	2010-05	1-221-1	University of Idaho Library	University of Idaho Historical Photograph Colleciton	University of Idaho Student Organizations	Image;StillImage	Black and white print	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-06-11	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/210	210	220.jpg	/spec_uihp/image/220.jpg
Home Economics 1928		Seniors in Dresses made in class	1928		PG 1 University of Idaho Campus Photographs, 1-219 to 1-221-35	University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings; Students	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	135 dpi grayscale jpg displayed. SilverFast scanning software, Epson Expression 1640 XL, Master file is a 600 dpi TIFF.	2010-05	1-221-11	University of Idaho Library	University of Idaho Historical Photograph Colleciton	University of Idaho Student Organizations	Image;StillImage	Black and white print	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-06-11	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/211	211	221.jpg	/spec_uihp/image/221.jpg
Home Economics 1920s		Students work in a Home Economics design class in the 1920s.	1920	y	PG 1 University of Idaho Campus Photographs, 1-219 to 1-221-35	University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings; Students	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	195 dpi grayscale jpg displayed. SilverFast scanning software, Epson Expression 1640 XL, Master file is a 600 dpi TIFF.	2010-05	1-221-16	University of Idaho Library	University of Idaho Historical Photograph Colleciton	University of Idaho Student Organizations	Image;StillImage	Black and white print	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-06-11	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/212	212	222.jpg	/spec_uihp/image/222.jpg
Home Economics		Students participating in a formal tea for Home Economics.	1935	y	PG 1 University of Idaho Campus Photographs, 1-219 to 1-221-35	University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings; Students	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	135 dpi grayscale jpg displayed. SilverFast scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-221-18	University of Idaho Library	University of Idaho Historical Photograph Colleciton	University of Idaho Student Organizations	Image;StillImage	Black and white print	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-06-11	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/213	213	223.jpg	/spec_uihp/image/223.jpg
Home Economics 1900s		Students from a Home Economics class in the early 1900s.	1900	y	PG 1 University of Idaho Campus Photographs, 1-219 to 1-221-35	University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings; Students	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	185 dpi grayscale jpg displayed. SilverFast scanning software, Epson Expression 1640 XL, Master file is a 600 dpi TIFF.	2010-05	1-221-32	University of Idaho Library	University of Idaho Historical Photograph Colleciton	University of Idaho Student Organizations	Image;StillImage	Black and white print	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-06-11	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/214	214	224.jpg	/spec_uihp/image/224.jpg
Home Economics 1897		1987 Class in domestic Science:  Mrs. Egbert, Jim McNab, Ollie McConnell, Kate Hanley, Clara Playfair, Mande Mix, Miss Lyford, Pauline Moerder, Eva Nicolas, Berta Kirkwood.	1897		PG 1 University of Idaho Campus Photographs, 1-219 to 1-221-35	University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings; Students	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	260 dpi grayscale jpg displayed. SilverFast scanning software, Epson Expression 1640 XL, Master file is a 800 dpi TIFF.	2010-05	1-221-34	University of Idaho Library	University of Idaho Historical Photograph Colleciton	University of Idaho Student Organizations	Image;StillImage	Black and white print	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-06-11	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/215	215	225.jpg	/spec_uihp/image/225.jpg
Home Economics 1897		1897 Home Economics students pose for a photo on steps.	1897		PG 1 University of Idaho Campus Photographs, 1-219 to 1-221-35	University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings; Students	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	350 dpi grayscale jpg displayed. SilverFast scanning software, Epson Expression 1640 XL, Master file is a 800 dpi TIFF.	2010-05	1-221-35	University of Idaho Library	University of Idaho Historical Photograph Colleciton	University of Idaho Student Organizations	Image;StillImage	Black and white print	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-06-11	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/216	216	226.jpg	/spec_uihp/image/226.jpg
Home Economics		Studetns are examining material for Drapery class.	1935	y	PG 1 University of Idaho Campus Photographs, 1-219 to 1-221-35	University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings; Students	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	130 dpi grayscale jpg displayed. SilverFast scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-221-22	University of Idaho Library	University of Idaho Historical Photograph Colleciton	University of Idaho Student Organizations	Image;StillImage	Black and white print	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-06-11	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/217	217	227.jpg	/spec_uihp/image/227.jpg
Home Economics 1952;1902	Photographer: Sterner (Original)	University Press Service:  University of Idaho, Moscow, Nov. [95] The "migrotory" department of home economoics at the University of Idaho has finally settled in its new four-story Collegiate-Gothic quarters after roaming from one building to another around the campus for half a century.           An open-house in the new building this week will celebrate the new building and the 50th anniversary of home economics at the University of Idaho.  The open-house is sceduled for Thursday, November 20, from 4 P.M. to 7 P.M.          For years, the home economics department, or domestic science deptartment, as it was often called, was broken into several parts with each section in different building.  A cooking laboratory was the first section, located in Ridenbaugh hall in 1902, where the kitchen also served women students living in the dormitory.      "The principal difference between cooking laboratories early in the century and the present, aside from new equipment, is the method of teaching,"  according to Professor Margaret Ritchie, head of the department.  "The family-centered teaching plan is used now, with three to four students working in a regular home kitchen unit rather than having small, inadequate facilities for each student."         The home economics department finally was put under one roof in a wing of the Administration building, where it was located for more than 30 years before moving to the new building this fall.  The new building is complete with divisions and laboratories covering every phase of modern home economics.	1952; 1902		PG 1 University of Idaho Campus Photographs, 1-219 to 1-221-35	University of Idaho; University of Idaho -- Buildings -- Photographs;		United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	130 dpi grayscale jpg displayed. SilverFast scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-221-4	University of Idaho Library	University of Idaho Historical Photograph Colleciton	University of Idaho Student Organizations	Image;StillImage	Black and white print	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-06-11	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/218	218	228.jpg	/spec_uihp/image/228.jpg
Home Economics 1952	Photographer: Newt Cutler, Publications Office	Cooking lab in new home economics building	1952		PG 1 University of Idaho Campus Photographs, 1-219 to 1-221-35	University of Idaho; University of Idaho -- Buildings -- Photographs;		United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	130 dpi grayscale jpg displayed. SilverFast scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-221-7	University of Idaho Library	University of Idaho Historical Photograph Colleciton	University of Idaho Student Organizations	Image;StillImage	Black and white print	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-06-11	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/219	219	229.jpg	/spec_uihp/image/229.jpg
Music	Donor: Publications Dept	Summer Group of music students	1930	y	PG 1 University of Idaho Campus Photographs, 1-222-51 to 1-222-end	University of Idaho; University of Idaho -- Buildings -- Photographs;		United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	130 dpi grayscale jpg displayed. SilverFast scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-222-53	University of Idaho Library	University of Idaho Historical Photograph Colleciton	University of Idaho Student Organizations	Image;StillImage	Black and white print	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-06-11	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/220	220	230.jpg	/spec_uihp/image/230.jpg
Music 1954	Donor: Publications Dept.	Musically the U. of I. Ranks among the top institutions of the west. ; (Left to Right) Prof Carl Laus, Leora Patterson, Joyce Sumsion Hooker, Prof Miriam Little	1954		PG 1 University of Idaho Campus Photographs, 1-222-51 to 1-222-end	University of Idaho; University of Idaho -- Buildings -- Photographs;		United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	160 dpi grayscale jpg displayed. SilverFast scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-222-57	University of Idaho Library	University of Idaho Historical Photograph Colleciton	University of Idaho Student Organizations	Image;StillImage	Black and white print	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-06-11	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/221	221	231.jpg	/spec_uihp/image/231.jpg
Music 1942	Donor: Hodgins, Moscow	Kappa Kappa Gamma Sorority, Winners of the May 8 songfest	1942		PG 1 University of Idaho Campus Photographs, 1-222-51 to 1-222-end	University of Idaho; University of Idaho -- Buildings -- Photographs;		United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	190 dpi grayscale jpg displayed. SilverFast scanning software, Epson Expression 1640 XL, Master file is a 600 dpi TIFF.	2010-05	1-222-100	University of Idaho Library	University of Idaho Historical Photograph Colleciton	University of Idaho Student Organizations	Image;StillImage	Black and white print	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-06-11	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/222	222	232.jpg	/spec_uihp/image/232.jpg
Music	Donor: Publications Dept.	Sigma Alpha Iota Women's Music Honorary:  These twenty University of Idaho coeds are shown after recent initiation ceremonies of Sima alpha iota, women's music honorary.  Left to rigth, seated, are Naomi Nokes, Jody raber, Jo Peters, Pat Rambo, Ester Simons, Jean Jacobs, Joan coble, Joyce Walser, and Bernice Bauer.  Standing, left to rigth, are Rita Reynolds, Nancy Shelton, Elisabeth Wilcox, Joan Parks, Margie Moline, Delores Knight, Ann Pickett, Barbara Clauser, Ruth beiber, Beverly Schupfer, and Margaret Mehl.	1930	y	PG 1 University of Idaho Campus Photographs, 1-222-51 to 1-222-end	University of Idaho; University of Idaho -- Buildings -- Photographs;		United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	130 dpi grayscale jpg displayed. SilverFast scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-222-60	University of Idaho Library	University of Idaho Historical Photograph Colleciton	University of Idaho Student Organizations	Image;StillImage	Black and white print	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-06-11	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/223	223	233.jpg	/spec_uihp/image/233.jpg
Music 1956	Donor: Publications Dept.	Students Majoring in the organ phase of music at the University of Idaho received a few pointers from a master of the instrument - Carl Weinrich, touring concert artist.  Seated with him at the organ is margret johnson, Blackfoot.  Observing the instructor is Shirley Danelson of Genesee and James Horn, Cicero, Illinois.	1956		PG 1 University of Idaho Campus Photographs, 1-222-51 to 1-222-end	University of Idaho; University of Idaho -- Buildings -- Photographs;		United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	160 dpi grayscale jpg displayed. SilverFast scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-222-64	University of Idaho Library	University of Idaho Historical Photograph Colleciton	University of Idaho Student Organizations	Image;StillImage	Black and white print	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-06-11	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/224	224	234.jpg	/spec_uihp/image/234.jpg
Music 1954	Donor: Publications Dept.	Concert artist Nadine Connor & students-- University Press Service:  There's close harmony when two beauty queens get togther at the University of Idaho.  Phyllis Ralstin Goecke (left), Miss Idaho of 1951 from Nezperce, and Jane Bostic, Miss Idaho of 1953, from New Plymouth, are both music students at the University.  Mrs. goecke is a senior, and Miss Bostic a freshman.	1954		PG 1 University of Idaho Campus Photographs, 1-222-51 to 1-222-end	University of Idaho; University of Idaho -- Buildings -- Photographs;		United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	130 dpi grayscale jpg displayed. SilverFast scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-222-68	University of Idaho Library	University of Idaho Historical Photograph Colleciton	University of Idaho Student Organizations	Image;StillImage	Black and white print	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-06-11	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/225	225	235.jpg	/spec_uihp/image/235.jpg
Music 1962		Leroy Bauer, Steven Romanio & David Whisner	1962		PG 1 University of Idaho Campus Photographs, 1-222-51 to 1-222-end	University of Idaho; University of Idaho -- Buildings -- Photographs;		United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	130 dpi grayscale jpg displayed. SilverFast scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-222-82	University of Idaho Library	University of Idaho Historical Photograph Colleciton	University of Idaho Student Organizations	Image;StillImage	Black and white print	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-06-11	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/226	226	236.jpg	/spec_uihp/image/236.jpg
Photograph 1			1969		20-159							2010-08	20-159a			University of Idaho Publications Department Negatives				To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-09-08	2010-09-08	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/227	227	237.jp2	/spec_uihp/image/237.jp2
Photograph 2			1969		20-159							2010-08	20-159b			University of Idaho Publications Department Negatives				To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-09-08	2010-09-08	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/228	228	238.jp2	/spec_uihp/image/238.jp2
Photograph 3			1969		20-159							2010-08	20-159c			University of Idaho Publications Department Negatives				To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-09-08	2010-09-08	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/229	229	239.jp2	/spec_uihp/image/239.jp2
Photograph 4			1969		20-159							2010-08	20-159d			University of Idaho Publications Department Negatives				To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-09-08	2010-09-08	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/230	230	240.jp2	/spec_uihp/image/240.jp2
Photograph 5			1969		20-159							2010-08	20-159e			University of Idaho Publications Department Negatives				To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-09-08	2010-09-08	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/231	231	241.jp2	/spec_uihp/image/241.jp2
Photograph 6			1969		20-159							2010-08	20-159f			University of Idaho Publications Department Negatives				To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-09-08	2010-09-08	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/232	232	242.jp2	/spec_uihp/image/242.jp2
Photograph 7			1969		20-159							2010-08	20-159g			University of Idaho Publications Department Negatives				To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-09-08	2010-09-08	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/233	233	243.jp2	/spec_uihp/image/243.jp2
