colltitle,shorttitle,cdmtitle,Items,webitems,TSV File,Google Sheet,Data Validation,cpd entries,digital-archive-location,digital-archive-size,Type,Alpha,CDMID,Website,path,short_desc,Description,Subjects,MediaType,Location,Lat,Long,TimeStart,TimeEnd,Image,ImageLink,image-number,ImageTitle,width,height,menu,fusionmap,zoom
Stonebraker Photograph Collection,Stonebraker Collection,Stonebraker Photograph Collection,541,540,Uploaded,Created,Complete: Rights statement updates; standardized Rights field added,,,,Collection,Stonebraker,stonebraker,https://www.lib.uidaho.edu/digital/stonebraker/,stonebraker,"Ranching, Hunting, and Pack Train Operations in North Central Idaho, 1900-1931","A digital collection comprised of 540 historical photographs taken by William Allen Stonebraker at the turn of the century and into the 1920s and 1930s documenting the Salmon River, the Frank Church-River of No Return, the Chamberlain Basin, and the Thunder Mountain Gold Rush.",Mining; Wildnerness; Idaho;,images,Salmon River; Frank Church-River of No Return Wilderness; Chamberlain Basin,44.948193,-115.135872,1900,1931,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=stonebraker&amp;CISOPTR=155&amp;action=2&amp;DMSCALE=60&amp;DMWIDTH=800&amp;DMHEIGHT=800&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/stonebraker/id/155,155,Men in Submerged Boat,400px,234px,table map subjects all about,1vAfzCZfzcPSCRLAipILpiygJRUhkScVaA6RgTbE,8
Taylor Ranch Log Book Collection,Taylor Ranch Collection,Taylor Ranch Log Book Collection,9,9,Uploaded,Created,Completed,,,,AltCollection,Taylor,taylor,https://digital.lib.uidaho.edu/cdm/landingpage/collection/taylor,taylorranch,"Log books detailing daily events at the Taylor Wilderness Research Station, 1997-2010","The nine log books in this collection detail daily events from 1997 to 2010 recounted by those living and working at the Taylor Wilderness Research Station. In addition to describing the routine research and maintenance task, the logs also provide wildlife sightings and firsthand accounts of harrowing events, such as the dramatic forest fire and evacuation of the year 2000.",Idaho; Forests; Wilderness,documents,"Taylor Ranch, Idaho; Frank Church River of No Return Wilderness",45.103422,-114.851106,1997,2010,https://www.lib.uidaho.edu/digital/img/taylor1.jpg,https://digital.lib.uidaho.edu/cdm/ref/collection/taylor/id/5,5,Taylor Log Book,350px,279px,,,
The Theodore Roosevelt Collection,Roosevelt Visit Exhibit,na,na,na,,,,,,,Exhibit,Theodore,na,https://www.lib.uidaho.edu/digital/troosevelt/index.html,troosevelt,Photos from President&apos;s Roosevelt&apos;s historic visit to the University of Idaho campus in 1911,A collection of photographs from the University of Idaho Historical Photographs Collection commemorating the 100th anniversary of President&apos;s Roosevelt&apos;s historic visit to the University of Idaho campus in 1911.,UI; Campus;,images,"Moscow, ID (Admin Lawn)",46.726209,-117.010521,1911,1911,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=spec_uihp&amp;CISOPTR=427&amp;action=2&amp;DMSCALE=30&amp;DMWIDTH=512&amp;DMHEIGHT=408&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/spec_uihp/id/427,427,Roosevelt on platform in front of University of Idaho Administration Building leaning toward Idaho Governor James Hawley,400px,319px,,,
Theses and Dissertation Database (ETDs),ETDs,Theses and Dissertations Database (ETDs),428,618,Uploaded,Created,,,,,Application,Theses,etd,http://digital.lib.uidaho.edu/cdm/search/collection/etd,etds,A catalog of theses and dissertations at the University from 1909 to the present,"A searchable database of cataloged records for over 10,00 theses and dissertations published from 1909 to 2011. This database was most recently updated in June of 2015.",UI; UIResearch;,documents,University of Idaho (Library),46.73524,-117.01396,1909,2011,https://digital.lib.uidaho.edu/utils/getthumbnail/collection/etd/id/435,https://digital.lib.uidaho.edu/cdm/singleitem/collection/etd/id/435,435,"Distribution of Salt and Moisture in Butter as affected by storage, a 1917 Thesis written by Ricahrd D. Canan",93px,120px,,,
Turning of the Wheel Collection - Humanities Colloquium 2011-2012,Turning of the Wheel Collection,Turning of the Wheel Collection - Humanities Colloquium 2011-2012,491,491,Uploaded,Created,Completed -added rights field. Changed Rights Statement,,,,AltCollection,Turning,turning,https://www.lib.uidaho.edu/digital/turning/,turning,"A Digital Collection of Events from the Humanities Colloquium Series, Turning of the Wheel, 2011-2012","A Digital Collection of Events from the Humanities Colloquium Series, Turning of the Wheel, University of Idaho | Moscow, Idaho | 2011-2012",UI; Campus;,documents; images; video;,"Moscow, ID (Commons)",46.727391,-117.013046,2011,2012,https://www.lib.uidaho.edu/digital/img/ad_turning.png,https://digital.lib.uidaho.edu/cdm/ref/collection/turning/id/58,58,Ad for the collection,400px,245px,,,
University of Idaho Historical Photos,UI Historical Photos,University of Idaho Historical Photograph Collection,487,487,Uploaded,Created,Completed: Removed Compound Object rows; Rights fields modified and standardized rights field added.,YES,,,Collection,University of Idaho Historical,spec_uihp,https://www.lib.uidaho.edu/digital/uihistorical/,uihistorical,Photographs documenting campus life at the Univesity of Idaho from 1890 to 1980,"A variety of photographs from several photographic collections held by Special Collections &amp; Archives that depict scenes from the University of Idaho&apos;s past. Includes portraits of past professors and alumni, as well as photos of buildings and events.",UI; Campus;,images,University of Idaho Campus,46.725714,-117.011277,1863,1975,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=ott&amp;CISOPTR=0&amp;action=2&amp;DMSCALE=22.37008&amp;DMWIDTH=600&amp;DMHEIGHT=600&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/spec_uihp/id/11,11,Administration Building 1900,340px,251px,map timeline subjects all about,1vAfzCZfzcPSCRLAipILpiygJRUhkScVaA6RgTbE,15
Vandal Video Collection,Vandal Videos,Vandal Video Collection,167,167,Uploaded,Created,Completed -added rights field. Changed Rights Statement,,,,Collection,Vandal,vandalvideo,https://www.lib.uidaho.edu/digital/vandalvideo/,vandalvideo,"Historic videos of University of Idaho Basketball and Football Games, 1925 - 1997",The Vandal Video Collection is a collection of 160+ digitized 16mm Film reels that were scouting videos for both football and basketball games..,Campus; UI; Sports;,videos,"University of Idaho (Maclean Field, Neale Stadium, Kibbie Dome)",46.727212,-117.01655,1925,1993,https://www.lib.uidaho.edu/digital/vandalvideo/jpgs/KYJRPLUCn4g.jpg,https://digital.lib.uidaho.edu/cdm/ref/collection/vandalvideo/id/2,,"UI vs. USC, 1925",315px,180px,teams map timeline about,1vAfzCZfzcPSCRLAipILpiygJRUhkScVaA6RgTbE,4
Carleton Watkins Mine Interiors Collection,Watkins Collection,"Carleton Watkins Mine Interiors Collection (1890, Butte, MT)",80,80,Uploaded,Created,Completed,,,,Collection,Watkins,watkins,https://www.lib.uidaho.edu/digital/watkins/,watkins,"Interior photos of mines in Butte, Montana, 1890, hundreds of feet below ground","Among the riches of the historical photograph collections of the University of Idaho Library is an oversize portfolio of eighty original Carleton E. Watkins photographs. Long considered lost, these photographs of the interior of the Anaconda Mines in Butte, Montana, were taken in 1890. They show early hard-rock mining techniques, equipment, and men deep underground.",Mining; Northwest;,images,"Butte, MT",46.036746,-112.506437,1890,1891,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=watkins&amp;CISOPTR=62&amp;action=2&amp;DMSCALE=35&amp;DMWIDTH=444&amp;DMHEIGHT=347&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/watkins/id/62,62,Anaconda Mines - Mt Con 400 level East sill floor,400px,313px,map depth letters all,1vAfzCZfzcPSCRLAipILpiygJRUhkScVaA6RgTbE,16
White Pine - King of Many Waters Collection,White Pine Collection,White Pine - King of Many Waters Collection,144,144,Uploaded,Created,Completed,,,,AltCollection,White Pine,whitepine,http://digital.lib.uidaho.edu/cdm/search/collection/whitepine,whitepine,Images used in the making of the book White Pine - King of Many Waters,Images used in the making of the book White Pine - King of Many Waters,Idaho;Water;Forests;,images,"Coeur d'Alene, ID",47.6776,-116.7925,1884,1969,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=whitepine&CISOPTR=137&action=2&DMSCALE=50&DMWIDTH=512&DMHEIGHT=458&DMX=0&DMY=0&DMTEXT=&DMROTATE=0&DMID,http://digital.lib.uidaho.edu/cdm/ref/collection/whitepine/id/137,137,A.W. Post and Crew,512px,458px,,,
University of Idaho Student Organizations Collection (PG2),,,,35527,Uploaded,Created,Completed,,,,,,pg2,,,,,,,,,,,,,,,,,,,,
Historical Japanese Ceramic Comparative Collection (HJCCC),,,,,Uploaded,Created,Completed: Trimmed compound objects,YES,,,,,HJCCC,,,,,,,,,,,,,,,,,,,,
